L001,1729623.938,8205346.102,49,0473650,3,4052754
L002,1729630.404,8205357.152,49,0474641,3,4053647
L003,1729639.509,8205363.186,49,0475179,3,4054897
L004,1729632.939,8205362.863,49,0475153,3,4053998
L005,1729645.505,8205367.199,49,0475537,3,4055720
L006,1729651.061,8205363.790,49,0475228,3,4056478
L007,1729652.763,8205369.328,49,0475725,3,4056715
L008,1729655.484,8205374.823,49,0476218,3,4057091
L009,1729653.775,8205378.415,49,0476542,3,4056860
L010,1729649.851,8205378.551,49,0476556,3,4056323
L011,1729647.695,8205378.186,49,0476524,3,4056028
L012,1729625.040,8205361.878,49,0475069,3,4052917
L013,1729618.531,8205366.084,49,0475450,3,4052029
L014,1729621.101,8205375.041,49,0476254,3,4052387
L015,1729642.147,8205378.370,49,0476543,3,4055269
L016,1729636.194,8205378.425,49,0476551,3,4054455
L017,1729629.581,8205372.345,49,0476008,3,4053545
L018,1729632.247,8205369.512,49,0475752,3,4053908
L019,1729633.249,8205378.524,49,0476562,3,4054052
L020,1729646.968,8205373.057,49,0476063,3,4055925
L021,1729643.072,8205372.269,49,0475994,3,4055391
L022,1729636.772,8205374.112,49,0476163,3,4054531
L023,1729631.466,8205374.270,49,0476180,3,4053805
L024,1729652.353,8205358.150,49,0474720,3,4056650
L025,1729631.680,8205345.507,49,0473593,3,4053813
L026,1729627.223,8205378.545,49,0476566,3,4053227
L027,1729653.061,8205385.222,49,0477154,3,4056767
L028,1729648.656,8205387.952,49,0477402,3,4056166
L029,1729656.746,8205393.190,49,0477869,3,4057277
L030,1729647.102,8205396.581,49,0478179,3,4055960
L031,1729645.274,8205402.800,49,0478739,3,4055715
L032,1729639.111,8205403.302,49,0478787,3,4054872
L033,1729635.868,8205403.244,49,0478783,3,4054428
L034,1729626.992,8205403.122,49,0478777,3,4053214
L035,1729622.090,8205404.356,49,0478890,3,4052544
L036,1729647.730,8205374.103,49,0476157,3,4056030
L037,1729641.827,8205370.723,49,0475856,3,4055220
L038,1729640.963,8205371.861,49,0475959,3,4055102
